"sH","sB","hdr","pres","b"
0.03,0.1,0.95,0.1666667,0.01
0.04,0.1,0.95,0.1666667,0.01
0.05,0.1,0.95,0.1666667,0.01
0.06,0.1,0.95,0.1666667,0.01
0.07,0.1,0.95,0.1666667,0.01
0.08,0.1,0.95,0.02777778,0.01
0.09,0.1,0.95,0.02777778,0.01
0.10,0.1,0.95,0.02777778,0.01
0.11,0.1,0.95,0.02777778,0.01
0.12,0.1,0.95,0.02777778,0.01
0.09,0.1,0.95,0.00462963,0.01
0.10,0.1,0.95,0.00462963,0.01
0.11,0.1,0.95,0.00462963,0.01
0.12,0.1,0.95,0.00462963,0.01
0.13,0.1,0.95,0.00462963,0.01
0.0,0.1,0.95,0.1666667,0.05
0.01,0.1,0.95,0.1666667,0.05
0.02,0.1,0.95,0.1666667,0.05
0.03,0.1,0.95,0.1666667,0.05
0.04,0.1,0.95,0.1666667,0.05
0.06,0.1,0.95,0.02777778,0.05
0.07,0.1,0.95,0.02777778,0.05
0.08,0.1,0.95,0.02777778,0.05
0.09,0.1,0.95,0.02777778,0.05
0.10,0.1,0.95,0.02777778,0.05
0.07,0.1,0.95,0.00462963,0.05
0.08,0.1,0.95,0.00462963,0.05
0.09,0.1,0.95,0.00462963,0.05
0.10,0.1,0.95,0.00462963,0.05
0.11,0.1,0.95,0.00462963,0.05
0.0,0.1,0.95,0.1666667,0.10
0.01,0.1,0.95,0.1666667,0.10
0.02,0.1,0.95,0.1666667,0.10
0.03,0.1,0.95,0.1666667,0.10
0.04,0.1,0.95,0.1666667,0.10
0.03,0.1,0.95,0.02777778,0.10
0.04,0.1,0.95,0.02777778,0.10
0.05,0.1,0.95,0.02777778,0.10
0.06,0.1,0.95,0.02777778,0.10
0.07,0.1,0.95,0.02777778,0.10
0.04,0.1,0.95,0.00462963,0.10
0.05,0.1,0.95,0.00462963,0.10
0.06,0.1,0.95,0.00462963,0.10
0.07,0.1,0.95,0.00462963,0.10
0.08,0.1,0.95,0.00462963,0.10
0.05,0.2,0.95,0.1666667,0.01
0.06,0.2,0.95,0.1666667,0.01
0.07,0.2,0.95,0.1666667,0.01
0.08,0.2,0.95,0.1666667,0.01
0.09,0.2,0.95,0.1666667,0.01
0.11,0.2,0.95,0.02777778,0.01
0.12,0.2,0.95,0.02777778,0.01
0.13,0.2,0.95,0.02777778,0.01
0.14,0.2,0.95,0.02777778,0.01
0.15,0.2,0.95,0.02777778,0.01
0.11,0.2,0.95,0.00462963,0.01
0.12,0.2,0.95,0.00462963,0.01
0.13,0.2,0.95,0.00462963,0.01
0.14,0.2,0.95,0.00462963,0.01
0.15,0.2,0.95,0.00462963,0.01
0.03,0.2,0.95,0.1666667,0.05
0.04,0.2,0.95,0.1666667,0.05
0.05,0.2,0.95,0.1666667,0.05
0.06,0.2,0.95,0.1666667,0.05
0.07,0.2,0.95,0.1666667,0.05
0.08,0.2,0.95,0.02777778,0.05
0.09,0.2,0.95,0.02777778,0.05
0.10,0.2,0.95,0.02777778,0.05
0.11,0.2,0.95,0.02777778,0.05
0.12,0.2,0.95,0.02777778,0.05
0.09,0.2,0.95,0.00462963,0.05
0.10,0.2,0.95,0.00462963,0.05
0.11,0.2,0.95,0.00462963,0.05
0.12,0.2,0.95,0.00462963,0.05
0.13,0.2,0.95,0.00462963,0.05
0.0,0.2,0.95,0.1666667,0.10
0.01,0.2,0.95,0.1666667,0.10
0.02,0.2,0.95,0.1666667,0.10
0.03,0.2,0.95,0.1666667,0.10
0.04,0.2,0.95,0.1666667,0.10
0.05,0.2,0.95,0.02777778,0.10
0.06,0.2,0.95,0.02777778,0.10
0.07,0.2,0.95,0.02777778,0.10
0.08,0.2,0.95,0.02777778,0.10
0.09,0.2,0.95,0.02777778,0.10
0.06,0.2,0.95,0.00462963,0.10
0.07,0.2,0.95,0.00462963,0.10
0.08,0.2,0.95,0.00462963,0.10
0.09,0.2,0.95,0.00462963,0.10
0.10,0.2,0.95,0.00462963,0.10
0.09,0.4,0.95,0.1666667,0.01
0.10,0.4,0.95,0.1666667,0.01
0.11,0.4,0.95,0.1666667,0.01
0.12,0.4,0.95,0.1666667,0.01
0.13,0.4,0.95,0.1666667,0.01
0.15,0.4,0.95,0.02777778,0.01
0.16,0.4,0.95,0.02777778,0.01
0.17,0.4,0.95,0.02777778,0.01
0.18,0.4,0.95,0.02777778,0.01
0.19,0.4,0.95,0.02777778,0.01
0.16,0.4,0.95,0.00462963,0.01
0.17,0.4,0.95,0.00462963,0.01
0.18,0.4,0.95,0.00462963,0.01
0.19,0.4,0.95,0.00462963,0.01
0.20,0.4,0.95,0.00462963,0.01
0.07,0.4,0.95,0.1666667,0.05
0.08,0.4,0.95,0.1666667,0.05
0.09,0.4,0.95,0.1666667,0.05
0.10,0.4,0.95,0.1666667,0.05
0.11,0.4,0.95,0.1666667,0.05
0.12,0.4,0.95,0.02777778,0.05
0.13,0.4,0.95,0.02777778,0.05
0.14,0.4,0.95,0.02777778,0.05
0.15,0.4,0.95,0.02777778,0.05
0.16,0.4,0.95,0.02777778,0.05
0.13,0.4,0.95,0.00462963,0.05
0.14,0.4,0.95,0.00462963,0.05
0.15,0.4,0.95,0.00462963,0.05
0.16,0.4,0.95,0.00462963,0.05
0.17,0.4,0.95,0.00462963,0.05
0.04,0.4,0.95,0.1666667,0.10
0.05,0.4,0.95,0.1666667,0.10
0.06,0.4,0.95,0.1666667,0.10
0.07,0.4,0.95,0.1666667,0.10
0.08,0.4,0.95,0.1666667,0.10
0.09,0.4,0.95,0.02777778,0.10
0.10,0.4,0.95,0.02777778,0.10
0.11,0.4,0.95,0.02777778,0.10
0.12,0.4,0.95,0.02777778,0.10
0.13,0.4,0.95,0.02777778,0.10
0.10,0.4,0.95,0.00462963,0.10
0.11,0.4,0.95,0.00462963,0.10
0.12,0.4,0.95,0.00462963,0.10
0.13,0.4,0.95,0.00462963,0.10
0.14,0.4,0.95,0.00462963,0.10